success_rate,end_intensity,achievement
0.0,0.2,0.0
0.0,0.2,0.0
0.0,0.2,0.0
0.0,0.2,0.0
0.0,0.2,0.0
0.0,0.2,0.0
0.0,0.2,0.0
0.0,0.2,0.0
0.0,0.2,0.0
0.0,0.2,0.0
0.0,0.2,0.0
0.0,0.2,0.0
0.0,0.2,0.0
0.0,0.2,0.0
0.0,0.2,0.0
0.0,0.2,0.0
0.0,0.2,0.0
0.0,0.2,0.0
0.0,0.2,0.0
0.15,0.2,0.03
0.1,0.2,0.020000000000000004
0.41,0.2,0.082
0.41,0.2,0.082
0.57,0.2,0.11399999999999999
0.87,0.2,0.17400000000000002
0.72,0.2,0.144
0.82,0.2,0.164
0.76,0.2,0.15200000000000002
0.81,0.2,0.16200000000000003
0.88,0.2,0.17600000000000002
0.81,0.2,0.16200000000000003
0.84,0.2,0.168
0.89,0.2,0.17800000000000002
0.72,0.2,0.144
0.77,0.2,0.15400000000000003
0.82,0.2,0.164
0.84,0.2,0.168
0.81,0.2,0.16200000000000003
0.81,0.2,0.16200000000000003
0.79,0.2,0.15800000000000003
0.84,0.2,0.168
0.79,0.2,0.15800000000000003
0.85,0.2,0.17
0.06,0.2,0.012
0.23,0.2,0.046000000000000006
0.51,0.2,0.10200000000000001
0.59,0.2,0.118
0.63,0.2,0.126
0.75,0.2,0.15000000000000002
0.82,0.2,0.164
