success_rate,end_intensity,achievement
0.0,0.35,0.0
0.0,0.35,0.0
0.0,0.35,0.0
0.0,0.35,0.0
0.0,0.35,0.0
0.0,0.35,0.0
0.0,0.35,0.0
0.0,0.35,0.0
0.0,0.35,0.0
0.0,0.35,0.0
0.0,0.35,0.0
0.0,0.35,0.0
0.0,0.35,0.0
0.0,0.35,0.0
0.0,0.35,0.0
0.0,0.35,0.0
0.0,0.35,0.0
0.0,0.35,0.0
0.0,0.35,0.0
0.0,0.35,0.0
0.0,0.35,0.0
0.0,0.35,0.0
0.0,0.35,0.0
0.0,0.35,0.0
0.0,0.35,0.0
0.0,0.35,0.0
0.0,0.35,0.0
0.0,0.35,0.0
0.0,0.35,0.0
0.0,0.35,0.0
0.0,0.35,0.0
0.0,0.35,0.0
0.0,0.35,0.0
0.0,0.35,0.0
0.0,0.35,0.0
0.0,0.35,0.0
0.0,0.35,0.0
0.0,0.35,0.0
0.0,0.35,0.0
0.0,0.35,0.0
0.0,0.35,0.0
0.0,0.35,0.0
0.0,0.35,0.0
0.0,0.35,0.0
0.0,0.35,0.0
0.0,0.35,0.0
0.0,0.35,0.0
0.0,0.35,0.0
0.0,0.35,0.0
0.0,0.35,0.0
0.0,0.35,0.0
