success_rate,end_intensity,achievement
0.0,0.15,0.0
0.0,0.15,0.0
0.0,0.15,0.0
0.0,0.15,0.0
0.0,0.15,0.0
0.0,0.15,0.0
0.0,0.15,0.0
0.0,0.15,0.0
0.0,0.15,0.0
0.0,0.15,0.0
0.0,0.15,0.0
0.0,0.15,0.0
0.0,0.15,0.0
0.31,0.15,0.0465
0.76,0.15,0.11399999999999999
0.94,0.15,0.141
0.84,0.15,0.126
0.91,0.15,0.1365
0.94,0.15,0.141
0.92,0.15,0.138
0.88,0.15,0.132
0.86,0.15,0.129
0.87,0.15,0.1305
0.82,0.15,0.12299999999999998
0.81,0.15,0.1215
0.92,0.15,0.138
0.87,0.15,0.1305
0.83,0.15,0.12449999999999999
0.84,0.15,0.126
0.85,0.15,0.1275
0.89,0.15,0.1335
0.86,0.15,0.129
0.83,0.15,0.12449999999999999
0.9,0.15,0.135
0.85,0.15,0.1275
0.85,0.15,0.1275
0.84,0.15,0.126
0.92,0.15,0.138
0.86,0.15,0.129
0.81,0.15,0.1215
0.86,0.15,0.129
0.76,0.15,0.11399999999999999
0.82,0.15,0.12299999999999998
0.81,0.15,0.1215
0.78,0.15,0.11699999999999999
0.78,0.15,0.11699999999999999
0.87,0.15,0.1305
0.8,0.15,0.12
0.83,0.15,0.12449999999999999
0.77,0.15,0.11549999999999999
0.78,0.15,0.11699999999999999
