success_rate,end_intensity,achievement
0.0,0.15,0.0
0.0,0.15,0.0
0.0,0.15,0.0
0.0,0.15,0.0
0.0,0.15,0.0
0.0,0.15,0.0
0.0,0.15,0.0
0.0,0.15,0.0
0.0,0.15,0.0
0.0,0.15,0.0
0.0,0.15,0.0
0.0,0.15,0.0
0.0,0.15,0.0
0.03,0.15,0.0045
0.09,0.15,0.0135
0.58,0.15,0.087
0.67,0.15,0.1005
0.83,0.15,0.12449999999999999
0.75,0.15,0.11249999999999999
0.84,0.15,0.126
0.78,0.15,0.11699999999999999
0.81,0.15,0.1215
0.75,0.15,0.11249999999999999
0.84,0.15,0.126
0.76,0.15,0.11399999999999999
0.81,0.15,0.1215
0.72,0.15,0.108
0.85,0.15,0.1275
0.86,0.15,0.129
0.83,0.15,0.12449999999999999
0.87,0.15,0.1305
0.86,0.15,0.129
0.82,0.15,0.12299999999999998
0.82,0.15,0.12299999999999998
0.83,0.15,0.12449999999999999
0.84,0.15,0.126
0.87,0.15,0.1305
0.83,0.15,0.12449999999999999
0.84,0.15,0.126
0.84,0.15,0.126
0.74,0.15,0.111
0.71,0.15,0.1065
0.78,0.15,0.11699999999999999
0.78,0.15,0.11699999999999999
0.81,0.15,0.1215
0.81,0.15,0.1215
0.85,0.15,0.1275
0.73,0.15,0.1095
0.83,0.15,0.12449999999999999
0.77,0.15,0.11549999999999999
