success_rate,end_intensity,achievement
0.0,0.05,0.0
0.03,0.05,0.0015
0.88,0.05,0.044000000000000004
0.9,0.05,0.045000000000000005
0.87,0.05,0.043500000000000004
0.88,0.05,0.044000000000000004
0.96,0.05,0.048
0.89,0.05,0.044500000000000005
0.94,0.05,0.047
0.97,0.05,0.0485
0.94,0.05,0.047
0.98,0.05,0.049
0.93,0.05,0.04650000000000001
0.93,0.05,0.04650000000000001
0.91,0.05,0.045500000000000006
0.93,0.05,0.04650000000000001
0.94,0.05,0.047
0.86,0.05,0.043000000000000003
0.93,0.05,0.04650000000000001
0.93,0.05,0.04650000000000001
0.86,0.05,0.043000000000000003
0.9,0.05,0.045000000000000005
0.89,0.05,0.044500000000000005
0.92,0.05,0.046000000000000006
0.9,0.05,0.045000000000000005
0.87,0.05,0.043500000000000004
0.8,0.05,0.04000000000000001
0.86,0.05,0.043000000000000003
0.93,0.05,0.04650000000000001
0.88,0.05,0.044000000000000004
0.91,0.05,0.045500000000000006
0.88,0.05,0.044000000000000004
0.87,0.05,0.043500000000000004
0.92,0.05,0.046000000000000006
0.92,0.05,0.046000000000000006
0.88,0.05,0.044000000000000004
0.87,0.05,0.043500000000000004
0.88,0.05,0.044000000000000004
0.85,0.05,0.0425
0.77,0.05,0.038500000000000006
0.85,0.05,0.0425
0.87,0.05,0.043500000000000004
0.88,0.05,0.044000000000000004
0.93,0.05,0.04650000000000001
0.86,0.05,0.043000000000000003
0.81,0.05,0.04050000000000001
0.86,0.05,0.043000000000000003
0.91,0.05,0.045500000000000006
0.85,0.05,0.0425
0.87,0.05,0.043500000000000004
