success_rate,end_intensity,achievement
0.51,0.0,0.0
0.68,0.0,0.0
0.59,0.01,0.0059
0.49,0.01,0.0049
0.41,0.01,0.0040999999999999995
0.45,0.0,0.0
0.51,0.0,0.0
0.58,0.0,0.0
0.5,0.01,0.005
0.29,0.0,0.0
0.54,0.0,0.0
0.52,0.0,0.0
0.49,0.0,0.0
0.55,0.0,0.0
0.49,0.0,0.0
0.47,0.0,0.0
0.57,0.0,0.0
0.57,0.0,0.0
0.55,0.0,0.0
0.59,0.0,0.0
0.53,0.0,0.0
0.52,0.0,0.0
0.48,0.0,0.0
0.48,0.0,0.0
0.45,0.0,0.0
0.32,0.01,0.0032
0.54,0.01,0.0054
0.41,0.0,0.0
0.57,0.0,0.0
0.52,0.0,0.0
0.61,0.0,0.0
0.6,0.0,0.0
0.52,0.01,0.005200000000000001
0.33,0.01,0.0033000000000000004
0.36,0.01,0.0036
0.49,0.02,0.0098
0.46,0.01,0.0046
0.42,0.01,0.0042
0.46,0.01,0.0046
0.28,0.01,0.0028000000000000004
0.35,0.0,0.0
0.6,0.0,0.0
0.68,0.0,0.0
0.55,0.0,0.0
0.7,0.0,0.0
0.73,0.0,0.0
0.49,0.0,0.0
0.54,0.0,0.0
0.55,0.0,0.0
0.65,0.0,0.0
