success_rate,end_intensity,achievement
0.49,0.0,0.0
0.67,0.0,0.0
0.42,0.01,0.0042
0.46,0.01,0.0046
0.64,0.01,0.0064
0.39,0.03,0.0117
0.54,0.04,0.0216
0.3,0.03,0.009
0.63,0.03,0.0189
0.66,0.03,0.0198
0.68,0.060000000000000005,0.0408
0.7,0.060000000000000005,0.042
0.73,0.10999999999999999,0.08029999999999998
0.65,0.10999999999999999,0.0715
0.65,0.10999999999999999,0.0715
0.7,0.2700000000000001,0.18900000000000003
0.41,0.2700000000000001,0.11070000000000002
0.33,0.26000000000000006,0.08580000000000003
0.44,0.26000000000000006,0.11440000000000003
0.44,0.26000000000000006,0.11440000000000003
0.42,0.26000000000000006,0.10920000000000002
0.52,0.24000000000000005,0.12480000000000002
0.63,0.25000000000000006,0.15750000000000003
0.32,0.25000000000000006,0.08000000000000002
0.7,0.24000000000000005,0.168
0.62,0.24000000000000005,0.14880000000000002
0.44,0.24000000000000005,0.10560000000000003
0.69,0.24000000000000005,0.16560000000000002
0.68,0.24000000000000005,0.16320000000000004
0.46,0.25000000000000006,0.11500000000000003
0.3,0.25000000000000006,0.07500000000000001
0.63,0.21000000000000002,0.1323
0.71,0.24000000000000005,0.17040000000000002
0.66,0.26000000000000006,0.17160000000000006
0.39,0.24000000000000005,0.09360000000000002
0.55,0.24000000000000005,0.13200000000000003
0.67,0.24000000000000005,0.16080000000000005
0.48,0.25000000000000006,0.12000000000000002
0.58,0.24000000000000005,0.13920000000000002
0.67,0.24000000000000005,0.16080000000000005
0.54,0.24000000000000005,0.12960000000000002
0.65,0.24000000000000005,0.15600000000000003
0.6,0.24000000000000005,0.14400000000000002
0.73,0.24000000000000005,0.17520000000000002
0.63,0.25000000000000006,0.15750000000000003
0.38,0.2,0.07600000000000001
0.69,0.24000000000000005,0.16560000000000002
0.53,0.24000000000000005,0.12720000000000004
0.63,0.24000000000000005,0.15120000000000003
0.67,0.24000000000000005,0.16080000000000005
